fit_session,model,head,columns,nonzero_exact,nonzero_above_1e_12,interaction_nonzero_exact,intercept_or_constant
2022-01-03,M2,q90,63,12,12,0,0.07223549254675896
2022-01-03,M2,p10,63,63,63,6,-3.100409165874343
2022-02-01,M0,mu5,0,0,0,0,0.0023065625449817566
2022-02-01,M0,q90,0,0,0,0,0.08002745644763787
2022-02-01,M0,p10,0,0,0,0,0.07390146471371505
2022-02-01,M1,mu5,19,19,19,0,0.002306562544981755
2022-02-01,M1,q90,19,6,6,0,0.0819320715836547
2022-02-01,M1,p10,19,19,19,0,-2.8630249435752075
2022-02-01,M2,mu5,63,63,63,6,0.002306562544981798
2022-02-01,M2,q90,63,13,13,0,0.07484027682100824
2022-02-01,M2,p10,63,63,63,6,-3.0361072295962086
2022-03-01,M0,mu5,0,0,0,0,0.0020132016800115823
2022-03-01,M0,q90,0,0,0,0,0.08195927471272375
2022-03-01,M0,p10,0,0,0,0,0.07337662337662337
2022-03-01,M1,mu5,19,19,19,0,0.0020132016800115757
2022-03-01,M1,q90,19,6,6,0,0.08227799756787058
2022-03-01,M1,p10,19,19,19,0,-2.8557232033019013
2022-03-01,M2,mu5,63,63,63,6,0.0020132016800115593
2022-03-01,M2,q90,63,13,13,0,0.07591880719379049
2022-03-01,M2,p10,63,63,63,6,-3.0248834208830373
2022-04-01,M0,mu5,0,0,0,0,0.0024324260804179008
2022-04-01,M0,q90,0,0,0,0,0.07976430019161808
2022-04-01,M0,p10,0,0,0,0,0.0712484237074401
2022-04-01,M1,mu5,19,19,19,0,0.002432426080417904
2022-04-01,M1,q90,19,7,7,0,0.0818072830288592
2022-04-01,M1,p10,19,19,19,0,-2.890314393269968
2022-04-01,M2,mu5,63,63,63,6,0.0024324260804179355
2022-04-01,M2,q90,63,14,14,0,0.07520518329136625
2022-04-01,M2,p10,63,63,63,6,-3.068194217769707
2022-05-02,M0,mu5,0,0,0,0,0.001689565021292929
2022-05-02,M0,q90,0,0,0,0,0.08173269532712113
2022-05-02,M0,p10,0,0,0,0,0.07318573185731857
2022-05-02,M1,mu5,19,19,19,0,0.0016895650212929282
2022-05-02,M1,q90,19,7,7,0,0.08232462829093314
2022-05-02,M1,p10,19,19,19,0,-2.810422806191807
2022-05-02,M2,mu5,63,63,63,6,0.0016895650212928799
2022-05-02,M2,q90,63,13,13,0,0.07586896767553983
2022-05-02,M2,p10,63,63,63,6,-2.9592480669759715
2022-06-01,M0,mu5,0,0,0,0,0.001644371945169532
2022-06-01,M0,q90,0,0,0,0,0.07974950119871817
2022-06-01,M0,p10,0,0,0,0,0.0725419664268585
2022-06-01,M1,mu5,19,19,19,0,0.0016443719451695398
2022-06-01,M1,q90,19,6,6,0,0.08266865100977597
2022-06-01,M1,p10,19,19,19,0,-2.811227143925485
2022-06-01,M2,mu5,63,63,63,6,0.0016443719451695415
2022-06-01,M2,q90,63,13,13,0,0.07612657574042396
2022-06-01,M2,p10,63,63,63,6,-2.9538444377709303
2022-07-01,M0,mu5,0,0,0,0,0.0015931416700305616
2022-07-01,M0,q90,0,0,0,0,0.08199283602689166
2022-07-01,M0,p10,0,0,0,0,0.07426900584795322
2022-07-01,M1,mu5,19,19,19,0,0.0015931416700305538
2022-07-01,M1,q90,19,5,5,0,0.08392041789912583
2022-07-01,M1,p10,19,19,19,0,-2.7575263674124204
2022-07-01,M2,mu5,63,63,63,6,0.001593141670030599
2022-07-01,M2,q90,63,14,14,0,0.07674016513238079
2022-07-01,M2,p10,63,63,63,6,-2.8884959268360855
2022-08-01,M0,mu5,0,0,0,0,0.0020071763859511225
2022-08-01,M0,q90,0,0,0,0,0.07971710100422603
2022-08-01,M0,p10,0,0,0,0,0.07257142857142856
2022-08-01,M1,mu5,19,19,19,0,0.0020071763859511207
2022-08-01,M1,q90,19,6,6,0,0.08104668405158684
2022-08-01,M1,p10,19,19,19,0,-2.782788532473266
2022-08-01,M2,mu5,63,63,63,6,0.002007176385951096
2022-08-01,M2,q90,63,14,14,0,0.07571546136398997
2022-08-01,M2,p10,63,63,63,6,-2.9087761771253104
2022-09-01,M0,mu5,0,0,0,0,0.00205785749305223
2022-09-01,M0,q90,0,0,0,0,0.07782690304813067
2022-09-01,M0,p10,0,0,0,0,0.07071269487750557
2022-09-01,M1,mu5,19,19,19,0,0.002057857493052241
2022-09-01,M1,q90,19,4,4,0,0.08097780685295619
2022-09-01,M1,p10,19,19,19,0,-2.80263155396859
2022-09-01,M2,mu5,63,63,63,6,0.00205785749305224
2022-09-01,M2,q90,63,14,14,0,0.07457584901238222
2022-09-01,M2,p10,63,63,63,6,-2.930722367249484
2022-10-03,M0,mu5,0,0,0,0,0.001575309336657088
2022-10-03,M0,q90,0,0,0,0,0.07596622950453319
2022-10-03,M0,p10,0,0,0,0,0.0690968443960827
2022-10-03,M1,mu5,19,19,19,0,0.0015753093366570954
2022-10-03,M1,q90,19,6,6,0,0.07799996840473947
2022-10-03,M1,p10,19,19,19,0,-2.830414703039118
2022-10-03,M2,mu5,63,63,63,6,0.0015753093366571347
2022-10-03,M2,q90,63,15,15,0,0.07560627156158181
2022-10-03,M2,p10,63,63,63,6,-2.966991215076646
2022-11-01,M0,mu5,0,0,0,0,0.001845580683858756
2022-11-01,M0,q90,0,0,0,0,0.07513271496857662
2022-11-01,M0,p10,0,0,0,0,0.0675531914893617
2022-11-01,M1,mu5,19,19,19,0,0.0018455806838587644
2022-11-01,M1,q90,19,7,7,0,0.0772761924192122
2022-11-01,M1,p10,19,19,19,0,-2.8511298103944065
2022-11-01,M2,mu5,63,63,63,6,0.001845580683858781
2022-11-01,M2,q90,63,13,13,0,0.0747365776414839
2022-11-01,M2,p10,63,63,63,6,-3.0000247907990096
2022-12-01,M0,mu5,0,0,0,0,0.002279090048870065
2022-12-01,M0,q90,0,0,0,0,0.07413606494002539
2022-12-01,M0,p10,0,0,0,0,0.06607700312174818
2022-12-01,M1,mu5,19,19,19,0,0.002279090048870074
2022-12-01,M1,q90,19,7,7,0,0.07650946346868241
2022-12-01,M1,p10,19,19,19,0,-2.872215996793568
2022-12-01,M2,mu5,63,63,63,6,0.002279090048870075
2022-12-01,M2,q90,63,12,12,0,0.0736340680380913
2022-12-01,M2,p10,63,63,63,6,-3.027913404974475
2023-01-03,M0,mu5,0,0,0,0,0.00238469168384732
2023-01-03,M0,q90,0,0,0,0,0.0740399356036892
2023-01-03,M0,p10,0,0,0,0,0.06466395112016293
