selection_id,model,head,parameter,block_1_loss,block_2_loss,block_3_loss,weighted_loss,loss_minus_selected,validation_rows,selected
2020-09-11,M2,q90,0.001,0.035013165625038804,0.03374445918306534,0.021088682873738433,0.029948769227280857,0.009945766627664929,189,False
2020-09-11,M2,q90,0.0001,0.028570889208775537,0.028949029620196284,0.02004284375671784,0.025854254195229888,0.005851251595613959,189,False
2021-01-04,M1,mu5,100.0,0.024792831862036437,0.0017188132423946146,0.002868652660223485,0.009793432588218179,0.0,189,True
2021-01-04,M1,mu5,10.0,0.04832112630099649,0.002245171283948214,0.003201338853885548,0.017922545479610082,0.008129112891391904,189,False
2021-01-04,M1,mu5,1.0,0.0585058331409529,0.0037702326548007914,0.00321522126521264,0.02183042902032211,0.012036996432103932,189,False
2021-01-04,M1,p10,0.1,0.4617767507263784,0.14239524359088665,0.19854274538073666,0.2675715798993339,0.0,189,True
2021-01-04,M1,p10,1.0,0.5872760275019535,0.12471290680269845,0.22399041520964,0.31199311650476397,0.04442153660543008,189,False
2021-01-04,M1,p10,10.0,1.0599588749098228,0.12683179569948647,0.2404749083015139,0.47575519297027435,0.20818361307094047,189,False
2021-01-04,M1,q90,0.01,0.016166061253653722,0.006400664402693306,0.007883934083824264,0.01015021991339043,0.0,189,True
2021-01-04,M1,q90,0.001,0.03075966411573442,0.006798267768340162,0.008584623847449395,0.015380851910507993,0.005230631997117563,189,False
2021-01-04,M1,q90,0.0001,0.030555571274589327,0.007975139339948523,0.008562550096012294,0.01569775357018338,0.005547533656792952,189,False
2021-01-04,M2,mu5,100.0,0.07848138221893844,0.0021922801163839654,0.003088264226146326,0.027920642187156244,0.0,189,True
2021-01-04,M2,mu5,10.0,0.21433295122698734,0.003918995025543049,0.0028600073748415956,0.07370398454245733,0.045783342355301085,189,False
2021-01-04,M2,mu5,1.0,0.7059628234654396,0.0056914792121093806,0.00273780283949868,0.23813070183901588,0.21021005965185963,189,False
2021-01-04,M2,p10,0.1,0.6498185758599557,0.17309509642762452,0.24917118588596385,0.3573616193911814,0.0,189,True
2021-01-04,M2,p10,1.0,1.2883073147205857,0.3163357267880121,0.32552911211643587,0.6433907178750112,0.28602909848382985,189,False
2021-01-04,M2,p10,10.0,2.077717735562179,0.6531639723243766,0.43864053444933204,1.0565074141119626,0.6991457947207812,189,False
2021-01-04,M2,q90,0.01,0.020263060386360263,0.006825659222629826,0.007377347865477752,0.011488689158155947,0.0,189,True
2021-01-04,M2,q90,0.001,0.027263545780558195,0.012965416465204577,0.009894624090522539,0.016707862112095104,0.005219172953939158,189,False
2021-01-04,M2,q90,0.0001,0.02932874529415214,0.01178476473087107,0.010855269543254697,0.0173229265227593,0.0058342373646033535,189,False
2022-01-03,M1,mu5,100.0,0.0013260455892930387,0.0015466116025367423,0.0031503560718470765,0.002007671087892286,0.0,189,True
2022-01-03,M1,mu5,10.0,0.001387107967893971,0.0015493875063724162,0.0032271771431854964,0.0020545575391506276,4.688645125834178e-05,189,False
2022-01-03,M1,mu5,1.0,0.0016549657332356165,0.00155607071117384,0.0034245358501098413,0.0022118574315064324,0.00020418634361414655,189,False
2022-01-03,M1,p10,0.1,0.23829817188341426,0.04837220170727134,0.3139090453997145,0.20019313966346666,0.0,189,True
2022-01-03,M1,p10,1.0,0.25890514316897617,0.04663735874099785,0.3137515390259678,0.20643134697864726,0.0062382073151805995,189,False
2022-01-03,M1,p10,10.0,0.2735173826630203,0.05485899793024199,0.3246321627682207,0.21766951445382768,0.017476374790361016,189,False
2022-01-03,M1,q90,0.01,0.008428664623851095,0.008258678186397245,0.010165881284397523,0.008951074698215288,0.0,189,True
2022-01-03,M1,q90,0.001,0.009801517059799347,0.00825265620938676,0.01027761807544311,0.00944393044820974,0.0004928557499944523,189,False
2022-01-03,M1,q90,0.0001,0.010022875909539741,0.008121631740082364,0.011108086428998937,0.00975086469287368,0.0007997899946583925,189,False
2022-01-03,M2,mu5,100.0,0.0015178808600170162,0.0019263573972653394,0.002426011288218259,0.001956749848500205,0.0,189,True
2022-01-03,M2,mu5,10.0,0.0017063779170760536,0.003020894505968299,0.0026599133733820335,0.002462395265475462,0.0005056454169752572,189,False
2022-01-03,M2,mu5,1.0,0.0019014867262510248,0.00311005365194667,0.0028935417307688,0.0026350273696554983,0.0006782775211552935,189,False
2022-01-03,M2,p10,0.1,0.24791022644024657,0.03282056539066947,0.3679113544479617,0.21621404875962588,0.0,189,True
2022-01-03,M2,p10,1.0,0.31627764778784234,0.014757265477786772,0.6176822429698674,0.31623905207849884,0.10002500331887296,189,False
2022-01-03,M2,p10,10.0,0.44996391590423035,0.012313012840703543,0.9150487391628848,0.45910855596927286,0.24289450720964698,189,False
2022-01-03,M2,q90,0.01,0.00788969060681575,0.007100898512875424,0.009475286903565507,0.008155292007752227,0.0,189,True
2022-01-03,M2,q90,0.001,0.010699166120585295,0.010103760320764942,0.008657814792442563,0.009820247077930933,0.0016649550701787058,189,False
2022-01-03,M2,q90,0.0001,0.011621139816481125,0.009868918970202171,0.010725031732642422,0.010738363506441905,0.0025830714986896774,189,False
2023-01-03,M1,mu5,100.0,0.0031339511297950747,0.001010937656691241,0.001094212682365369,0.001746367156283895,0.0,189,True
2023-01-03,M1,mu5,10.0,0.0032814680655045138,0.0009446642893324517,0.001114190700961763,0.0017801076852662428,3.374052898234771e-05,189,False
2023-01-03,M1,mu5,1.0,0.0033664229076380875,0.0009653874218199915,0.0011346209146403852,0.0018221437480328215,7.577659174892639e-05,189,False
2023-01-03,M1,p10,0.1,0.4491700310641556,0.10320449703147715,0.08213362576413774,0.2115027179532568,0.0,189,True
2023-01-03,M1,p10,1.0,0.5077823470330024,0.14028031184522383,0.07613663671757409,0.2413997651986001,0.029897047245343283,189,False
2023-01-03,M1,p10,10.0,0.5273315734795795,0.16444707263845457,0.07431177880114674,0.2553634749730603,0.043860757019803465,189,False
2023-01-03,M1,q90,0.01,0.011603479644018878,0.006689361642619455,0.006855243457373,0.008382694914670445,0.0,189,True
2023-01-03,M1,q90,0.001,0.014861047538577782,0.007418138359623604,0.005193250801513268,0.009157478899904883,0.0007747839852344385,189,False
2023-01-03,M1,q90,0.0001,0.015140313114701062,0.007139663576668638,0.00553840888893342,0.009272795193434373,0.0008901002787639282,189,False
2023-01-03,M2,mu5,100.0,0.003558340535256546,0.0009117815160492146,0.0012800186197308454,0.0019167135570122018,0.0,189,True
2023-01-03,M2,mu5,10.0,0.004028022519462913,0.000988800421846021,0.0013933972758784015,0.0021367400723957784,0.00022002651538357665,189,False
2023-01-03,M2,mu5,1.0,0.004034874793788016,0.001069152843698599,0.0012263884607128998,0.002110138699399838,0.0001934251423876363,189,False
2023-01-03,M2,p10,0.1,0.5163414742471918,0.10194820273717214,0.06288004968309206,0.22705657555581868,0.0,189,True
2023-01-03,M2,p10,1.0,0.7099227497592784,0.1650551941275833,0.04838500647741104,0.3077876501214242,0.08073107456560555,189,False
2023-01-03,M2,p10,10.0,0.9622730212194855,0.1848351284653212,0.03295377830731125,0.39335397599737265,0.16629740044155397,189,False
2023-01-03,M2,q90,0.01,0.012165677700823479,0.004576265834278021,0.005188730750020442,0.007310224761707315,0.0,189,True
2023-01-03,M2,q90,0.001,0.015053511479300948,0.006526563363267301,0.0049337035745175934,0.008837926139028614,0.0015277013773212994,189,False
2023-01-03,M2,q90,0.0001,0.015568254125317565,0.0072002911080814936,0.005244232225384074,0.009337592486261044,0.002027367724553729,189,False
