fit_session,model,head,column,coefficient,exact_zero,nonzero_but_rounds_to_6dp_zero
2020-09-11,M2,p10,A04_spline_0,-0.10258711425492394,False,False
2020-09-11,M2,p10,A04_spline_1,-0.0793375252288325,False,False
2020-09-11,M2,p10,A04_spline_2,0.05291251278921511,False,False
2020-09-11,M2,p10,A05_spline_0,-0.13013616728356844,False,False
2020-09-11,M2,p10,A05_spline_1,0.005521339034388412,False,False
2020-09-11,M2,p10,A05_spline_2,0.2311119007320421,False,False
2020-09-11,M2,p10,B01_spline_0,0.06391771754264049,False,False
2020-09-11,M2,p10,B01_spline_1,-0.014414638879976032,False,False
2020-09-11,M2,p10,B01_spline_2,0.0715588305269453,False,False
2020-09-11,M2,p10,B02_spline_0,-0.2348307036970237,False,False
2020-09-11,M2,p10,B02_spline_1,0.013468944707207258,False,False
2020-09-11,M2,p10,B02_spline_2,-0.15815259120703024,False,False
2020-09-11,M2,p10,B03_spline_0,-0.372104336439132,False,False
2020-09-11,M2,p10,B03_spline_1,-0.1084903354105828,False,False
2020-09-11,M2,p10,B03_spline_2,0.09282209129328126,False,False
2020-09-11,M2,p10,C01_spline_0,-0.2820823375884151,False,False
2020-09-11,M2,p10,C01_spline_1,0.2202506733023485,False,False
2020-09-11,M2,p10,C01_spline_2,0.07900516155469331,False,False
2020-09-11,M2,p10,C02_spline_0,-0.4278722011689818,False,False
2020-09-11,M2,p10,C02_spline_1,-0.07203362315093513,False,False
2020-09-11,M2,p10,C02_spline_2,0.3588507076149497,False,False
2020-09-11,M2,p10,C03_spline_0,0.0799143715632915,False,False
2020-09-11,M2,p10,C03_spline_1,-0.00716026172289053,False,False
2020-09-11,M2,p10,C03_spline_2,-0.0918782572376195,False,False
2020-09-11,M2,p10,D01_spline_0,0.0002627260852404562,False,False
2020-09-11,M2,p10,D01_spline_1,-0.022407533288161214,False,False
2020-09-11,M2,p10,D01_spline_2,0.10887861654105968,False,False
2020-09-11,M2,p10,D02_spline_0,-0.048087264133652496,False,False
2020-09-11,M2,p10,D02_spline_1,0.11518127049753825,False,False
2020-09-11,M2,p10,D02_spline_2,0.020307186519039604,False,False
2020-09-11,M2,p10,D03_spline_0,0.04223688147421384,False,False
2020-09-11,M2,p10,D03_spline_1,0.14034137152516013,False,False
2020-09-11,M2,p10,D03_spline_2,-0.0660881922385173,False,False
2020-09-11,M2,p10,E01_spline_0,0.012240807549996192,False,False
2020-09-11,M2,p10,E01_spline_1,-0.20537763820306026,False,False
2020-09-11,M2,p10,E01_spline_2,0.15031129281625025,False,False
2020-09-11,M2,p10,F01_spline_0,0.01805496299493518,False,False
2020-09-11,M2,p10,F01_spline_1,-0.4613834351608133,False,False
2020-09-11,M2,p10,F01_spline_2,0.29945043871079746,False,False
2020-09-11,M2,p10,F02_spline_0,-0.2142079739837053,False,False
2020-09-11,M2,p10,F02_spline_1,-0.10930305323709168,False,False
2020-09-11,M2,p10,F02_spline_2,-0.13886355844649437,False,False
2020-09-11,M2,p10,F03_spline_0,0.07371275961219372,False,False
2020-09-11,M2,p10,F03_spline_1,0.04930786781037759,False,False
2020-09-11,M2,p10,F03_spline_2,-0.051112774824545765,False,False
2020-09-11,M2,p10,F04_spline_0,0.13785453864848127,False,False
2020-09-11,M2,p10,F04_spline_1,-0.16896004749967597,False,False
2020-09-11,M2,p10,F04_spline_2,0.2356867392813946,False,False
2020-09-11,M2,p10,I01,0.014107471929649605,False,False
2020-09-11,M2,p10,I02,0.12449972784966144,False,False
2020-09-11,M2,p10,I03,-0.23575142848054506,False,False
2020-09-11,M2,p10,I04,0.09258834624585931,False,False
2020-09-11,M2,p10,I05,0.14092417431461163,False,False
2020-09-11,M2,p10,I06,0.06907892191512033,False,False
2020-10-01,M1,mu5,A01,0.006858360468341297,False,False
2020-10-01,M1,mu5,A02,0.0011098568095025154,False,False
2020-10-01,M1,mu5,A03,0.010146458979191312,False,False
2020-10-01,M1,mu5,A04,-0.0012544137532453543,False,False
2020-10-01,M1,mu5,A05,-0.0020330420043172173,False,False
2020-10-01,M1,mu5,B01,0.002427926916309594,False,False
2020-10-01,M1,mu5,B02,-0.0023384198170897904,False,False
2020-10-01,M1,mu5,B03,-0.0069527654010841265,False,False
2020-10-01,M1,mu5,C01,0.0015429662679937938,False,False
2020-10-01,M1,mu5,C02,0.0005262404058631715,False,False
2020-10-01,M1,mu5,C03,0.0013997261152826263,False,False
2020-10-01,M1,mu5,D01,0.0007672899769684494,False,False
2020-10-01,M1,mu5,D02,0.004494584936296083,False,False
2020-10-01,M1,mu5,D03,0.004649836242453337,False,False
2020-10-01,M1,mu5,E01,-0.007562312912669494,False,False
2020-10-01,M1,mu5,F01,-0.0024866529991812007,False,False
2020-10-01,M1,mu5,F02,0.0005703612330252045,False,False
2020-10-01,M1,mu5,F03,0.0021104102826228852,False,False
2020-10-01,M1,mu5,F04,0.0012617746186206463,False,False
2020-10-01,M1,q90,A01,-0.004181196688318035,False,False
2020-10-01,M1,q90,A02,-0.0024216544340012877,False,False
2020-10-01,M1,q90,A03,0.0,True,False
2020-10-01,M1,q90,A04,0.01918086683100962,False,False
2020-10-01,M1,q90,A05,0.0,True,False
2020-10-01,M1,q90,B01,0.0,True,False
2020-10-01,M1,q90,B02,0.0,True,False
2020-10-01,M1,q90,B03,0.03694960951467256,False,False
2020-10-01,M1,q90,C01,0.0,True,False
2020-10-01,M1,q90,C02,0.0,True,False
2020-10-01,M1,q90,C03,0.0,True,False
2020-10-01,M1,q90,D01,0.0034754920914172103,False,False
2020-10-01,M1,q90,D02,0.0,True,False
2020-10-01,M1,q90,D03,-0.01657277203309528,False,False
2020-10-01,M1,q90,E01,0.01644815805522376,False,False
2020-10-01,M1,q90,F01,0.01568738903771969,False,False
2020-10-01,M1,q90,F02,-0.0017583229838528966,False,False
2020-10-01,M1,q90,F03,0.0,True,False
2020-10-01,M1,q90,F04,0.0,True,False
2020-10-01,M1,p10,A01,-0.23784793378182645,False,False
2020-10-01,M1,p10,A02,-0.09333941865182475,False,False
2020-10-01,M1,p10,A03,-0.4232275631693007,False,False
2020-10-01,M1,p10,A04,0.15862899971496275,False,False
2020-10-01,M1,p10,A05,0.010250316029631374,False,False
2020-10-01,M1,p10,B01,0.06940603015925068,False,False
2020-10-01,M1,p10,B02,0.1309225722578768,False,False
2020-10-01,M1,p10,B03,0.3927799268897979,False,False
2020-10-01,M1,p10,C01,-0.038493245769439695,False,False
2020-10-01,M1,p10,C02,0.10882589267937592,False,False
2020-10-01,M1,p10,C03,0.08158891925971172,False,False
2020-10-01,M1,p10,D01,0.003941852041457931,False,False
2020-10-01,M1,p10,D02,-0.1425096291242368,False,False
2020-10-01,M1,p10,D03,-0.3037927972242931,False,False
2020-10-01,M1,p10,E01,0.3406335602208302,False,False
2020-10-01,M1,p10,F01,0.33567683212514426,False,False
2020-10-01,M1,p10,F02,0.11767105953700943,False,False
2020-10-01,M1,p10,F03,-0.14072085804592227,False,False
2020-10-01,M1,p10,F04,0.00867620552000304,False,False
2020-10-01,M2,mu5,A01_spline_0,-0.018979488665805237,False,False
2020-10-01,M2,mu5,A01_spline_1,0.00025719085547798925,False,False
2020-10-01,M2,mu5,A01_spline_2,-3.680038071183795e-05,False,False
2020-10-01,M2,mu5,A02_spline_0,0.006166716402704815,False,False
2020-10-01,M2,mu5,A02_spline_1,-0.0009992088011020962,False,False
2020-10-01,M2,mu5,A02_spline_2,0.009142474903549308,False,False
2020-10-01,M2,mu5,A03_spline_0,-0.010883646273737347,False,False
2020-10-01,M2,mu5,A03_spline_1,0.00147034738657998,False,False
2020-10-01,M2,mu5,A03_spline_2,0.005304526912998634,False,False
2020-10-01,M2,mu5,A04_spline_0,0.0026781565194138987,False,False
2020-10-01,M2,mu5,A04_spline_1,0.001014715196329931,False,False
2020-10-01,M2,mu5,A04_spline_2,3.407830242725023e-05,False,False
2020-10-01,M2,mu5,A05_spline_0,-0.0013691474141498418,False,False
2020-10-01,M2,mu5,A05_spline_1,0.003851059892278045,False,False
2020-10-01,M2,mu5,A05_spline_2,-0.002958403975335751,False,False
2020-10-01,M2,mu5,B01_spline_0,-0.003648533223389563,False,False
2020-10-01,M2,mu5,B01_spline_1,-0.0013401672278068562,False,False
2020-10-01,M2,mu5,B01_spline_2,-0.0008444509022109015,False,False
2020-10-01,M2,mu5,B02_spline_0,0.0002988226377134292,False,False
2020-10-01,M2,mu5,B02_spline_1,0.004224060284147756,False,False
2020-10-01,M2,mu5,B02_spline_2,0.001286920730803875,False,False
2020-10-01,M2,mu5,B03_spline_0,0.004761457093248616,False,False
2020-10-01,M2,mu5,B03_spline_1,0.0022502180021614715,False,False
2020-10-01,M2,mu5,B03_spline_2,0.0013052378727459147,False,False
2020-10-01,M2,mu5,C01_spline_0,0.0016269836498236682,False,False
2020-10-01,M2,mu5,C01_spline_1,-0.006357026196175779,False,False
2020-10-01,M2,mu5,C01_spline_2,-0.001525364987068749,False,False
2020-10-01,M2,mu5,C02_spline_0,0.0019617518685674787,False,False
2020-10-01,M2,mu5,C02_spline_1,1.240969976607669e-05,False,False
2020-10-01,M2,mu5,C02_spline_2,-0.005917842815093895,False,False
2020-10-01,M2,mu5,C03_spline_0,-0.004493062381901861,False,False
2020-10-01,M2,mu5,C03_spline_1,-0.0035549515292039556,False,False
2020-10-01,M2,mu5,C03_spline_2,0.005368611005156554,False,False
2020-10-01,M2,mu5,D01_spline_0,-0.004843852264112984,False,False
2020-10-01,M2,mu5,D01_spline_1,0.002870975219908779,False,False
2020-10-01,M2,mu5,D01_spline_2,-0.005954016171827717,False,False
2020-10-01,M2,mu5,D02_spline_0,-0.00012431658356834227,False,False
2020-10-01,M2,mu5,D02_spline_1,-0.004280045855728451,False,False
2020-10-01,M2,mu5,D02_spline_2,-0.0007967628224364366,False,False
2020-10-01,M2,mu5,D03_spline_0,-0.0011064719368671064,False,False
2020-10-01,M2,mu5,D03_spline_1,-0.0022959848032415194,False,False
2020-10-01,M2,mu5,D03_spline_2,0.0016738256099771303,False,False
2020-10-01,M2,mu5,E01_spline_0,0.0003106874364577798,False,False
2020-10-01,M2,mu5,E01_spline_1,0.008055908791816528,False,False
2020-10-01,M2,mu5,E01_spline_2,-0.005348475003967262,False,False
2020-10-01,M2,mu5,F01_spline_0,0.00014800221212869996,False,False
2020-10-01,M2,mu5,F01_spline_1,0.0045200097510059815,False,False
2020-10-01,M2,mu5,F01_spline_2,-0.0032724079502593614,False,False
2020-10-01,M2,mu5,F02_spline_0,0.006638965234295968,False,False
2020-10-01,M2,mu5,F02_spline_1,-0.0009025975324894403,False,False
2020-10-01,M2,mu5,F02_spline_2,0.003744608104610616,False,False
2020-10-01,M2,mu5,F03_spline_0,-2.0059579508371417e-05,False,False
2020-10-01,M2,mu5,F03_spline_1,-0.0018195491014823717,False,False
2020-10-01,M2,mu5,F03_spline_2,0.0019249393020177453,False,False
2020-10-01,M2,mu5,F04_spline_0,-0.0037121426175864888,False,False
2020-10-01,M2,mu5,F04_spline_1,0.00234361843873832,False,False
2020-10-01,M2,mu5,F04_spline_2,-0.005720639764044629,False,False
2020-10-01,M2,mu5,I01,-4.488279314787029e-05,False,False
2020-10-01,M2,mu5,I02,0.003307439144112129,False,False
2020-10-01,M2,mu5,I03,0.006155795586501274,False,False
2020-10-01,M2,mu5,I04,-0.003674234289235928,False,False
2020-10-01,M2,mu5,I05,-0.006654872119320113,False,False
2020-10-01,M2,mu5,I06,-0.005744854014840982,False,False
2020-10-01,M2,q90,A01_spline_0,0.03808393641114649,False,False
2020-10-01,M2,q90,A01_spline_1,0.0,True,False
2020-10-01,M2,q90,A01_spline_2,0.0,True,False
2020-10-01,M2,q90,A02_spline_0,0.0,True,False
2020-10-01,M2,q90,A02_spline_1,0.0,True,False
2020-10-01,M2,q90,A02_spline_2,-0.0032506915526992267,False,False
2020-10-01,M2,q90,A03_spline_0,0.01256028715480468,False,False
2020-10-01,M2,q90,A03_spline_1,0.0,True,False
2020-10-01,M2,q90,A03_spline_2,0.0,True,False
2020-10-01,M2,q90,A04_spline_0,0.0,True,False
2020-10-01,M2,q90,A04_spline_1,0.0,True,False
2020-10-01,M2,q90,A04_spline_2,0.0,True,False
2020-10-01,M2,q90,A05_spline_0,-0.0011024291060346642,False,False
2020-10-01,M2,q90,A05_spline_1,0.0,True,False
2020-10-01,M2,q90,A05_spline_2,0.0,True,False
2020-10-01,M2,q90,B01_spline_0,0.003915243624765008,False,False
2020-10-01,M2,q90,B01_spline_1,0.0,True,False
2020-10-01,M2,q90,B01_spline_2,0.0,True,False
2020-10-01,M2,q90,B02_spline_0,-0.0015934603435257164,False,False
2020-10-01,M2,q90,B02_spline_1,-0.006327186955230925,False,False
2020-10-01,M2,q90,B02_spline_2,0.0,True,False
2020-10-01,M2,q90,B03_spline_0,-0.0046934680090499345,False,False
2020-10-01,M2,q90,B03_spline_1,0.0,True,False
2020-10-01,M2,q90,B03_spline_2,0.0,True,False
2020-10-01,M2,q90,C01_spline_0,-0.00920499618540256,False,False
2020-10-01,M2,q90,C01_spline_1,0.0,True,False
2020-10-01,M2,q90,C01_spline_2,0.0,True,False
2020-10-01,M2,q90,C02_spline_0,0.0,True,False
2020-10-01,M2,q90,C02_spline_1,0.0,True,False
2020-10-01,M2,q90,C02_spline_2,0.006675343544734549,False,False
2020-10-01,M2,q90,C03_spline_0,0.0,True,False
2020-10-01,M2,q90,C03_spline_1,0.0,True,False
2020-10-01,M2,q90,C03_spline_2,0.0,True,False
2020-10-01,M2,q90,D01_spline_0,-0.0008675709672566061,False,False
2020-10-01,M2,q90,D01_spline_1,0.0,True,False
2020-10-01,M2,q90,D01_spline_2,0.008831766717860776,False,False
2020-10-01,M2,q90,D02_spline_0,0.0,True,False
2020-10-01,M2,q90,D02_spline_1,0.0,True,False
