as_of_session,decision_session,simulation_decision_at,execution_at,computed_at_utc,model,fit_id,forecast_available,forecast_status,mu5_raw,mu5,q90_raw,q90,p10_logit,p10,mu_projected,q_projected,outside_feature_count,outside_feature_ids,max_outside_distance_training_sd,R5,L5,Y10,score_observed,score_status,label_end_session,label_matures_at,label_available_at,probability_rank
2021-12-01,2021-12-02,2021-12-02T20:00:00+00:00,2021-12-02T21:00:00+00:00,2026-09-07T01:33:36.492152+00:00,M1,2021-12-01_M1,True,FORECAST_AVAILABLE,-0.00018418398411879046,-0.00018418398411879046,0.14748432699639158,0.14748432699639158,-1.3907809572583245,0.19928311073818286,False,False,0.0,,0.0,0.0650300071404041,0.0429160586456795,0.0,True,DEVELOPMENT_LABEL_COMPLETE,2021-12-09,2021-12-09T21:00:00+00:00,2021-12-10T20:00:00+00:00,10
2021-01-27,2021-01-28,2021-01-28T20:00:00+00:00,2021-01-28T21:00:00+00:00,2026-09-07T01:33:35.017351+00:00,M2,2021-01-04_M2,True,FORECAST_AVAILABLE,0.021917614536246775,0.021917614536246775,0.08698453092497901,0.08698453092497901,-0.30828276671783517,0.4235339512784688,False,False,0.0,,0.0,0.0971241985099706,0.0230602896023731,0.0,True,DEVELOPMENT_LABEL_COMPLETE,2021-02-04,2021-02-04T21:00:00+00:00,2021-02-05T20:00:00+00:00,1
2022-07-19,2022-07-20,2022-07-20T19:00:00+00:00,2022-07-20T20:00:00+00:00,2026-09-07T01:33:38.592915+00:00,M2,2022-07-01_M2,True,FORECAST_AVAILABLE,-0.026256445997853574,-0.026256445997853574,0.07813345420941842,0.07813345420941842,-0.6905243775819678,0.3339164329978735,False,False,0.0,,0.0,0.0245821049657681,0.0,0.0,True,DEVELOPMENT_LABEL_COMPLETE,2022-07-27,2022-07-27T20:00:00+00:00,2022-07-28T19:00:00+00:00,2
2020-10-12,2020-10-13,2020-10-13T19:00:00+00:00,2020-10-13T20:00:00+00:00,2026-09-07T01:33:34.097484+00:00,M2,2020-10-01_M2,True,FORECAST_AVAILABLE,-0.022736460218009125,-0.022736460218009125,0.10643522553008207,0.10643522553008207,-0.7643500012610143,0.31770257980796823,False,False,0.0,,0.0,-0.0261193904658804,0.0261193904658804,0.0,True,DEVELOPMENT_LABEL_COMPLETE,2020-10-20,2020-10-20T20:00:00+00:00,2020-10-21T19:00:00+00:00,3
2022-07-20,2022-07-21,2022-07-21T19:00:00+00:00,2022-07-21T20:00:00+00:00,2026-09-07T01:33:38.595161+00:00,M2,2022-07-01_M2,True,FORECAST_AVAILABLE,-0.01686231412720728,-0.01686231412720728,0.06718117584969444,0.06718117584969444,-0.8558841595004059,0.298199979348166,False,False,0.0,,0.0,0.0377358224560786,0.0042793468460631,0.0,True,DEVELOPMENT_LABEL_COMPLETE,2022-07-28,2022-07-28T20:00:00+00:00,2022-07-29T19:00:00+00:00,4
2020-10-13,2020-10-14,2020-10-14T19:00:00+00:00,2020-10-14T20:00:00+00:00,2026-09-07T01:33:34.099803+00:00,M2,2020-10-01_M2,True,FORECAST_AVAILABLE,-0.018411035745717647,-0.018411035745717647,0.10824011208563464,0.10824011208563464,-0.869612705342091,0.2953348963540383,False,False,0.0,,0.0,-0.0170031721579798,0.0292241894781651,0.0,True,DEVELOPMENT_LABEL_COMPLETE,2020-10-21,2020-10-21T20:00:00+00:00,2020-10-22T19:00:00+00:00,5
2020-12-15,2020-12-16,2020-12-16T20:00:00+00:00,2020-12-16T21:00:00+00:00,2026-09-07T01:33:34.337940+00:00,M2,2020-12-01_M2,True,FORECAST_AVAILABLE,-0.015039485803747941,-0.015039485803747941,0.10345002164482037,0.10345002164482037,-0.922870499686872,0.28437337141675006,False,False,0.0,,0.0,-0.0130434998943127,0.0437198383231844,0.0,True,DEVELOPMENT_LABEL_COMPLETE,2020-12-23,2020-12-23T21:00:00+00:00,2020-12-24T17:00:00+00:00,6
2022-07-21,2022-07-22,2022-07-22T19:00:00+00:00,2022-07-22T20:00:00+00:00,2026-09-07T01:33:38.597411+00:00,M2,2022-07-01_M2,True,FORECAST_AVAILABLE,-0.015165007149474587,-0.015165007149474587,0.06063728364587653,0.06063728364587653,-1.002501562174832,0.26844986877205396,False,False,0.0,,0.0,0.0406739963330731,0.0085222241391349,0.0,True,DEVELOPMENT_LABEL_COMPLETE,2022-07-29,2022-07-29T20:00:00+00:00,2022-08-01T19:00:00+00:00,7
2020-10-29,2020-10-30,2020-10-30T19:00:00+00:00,2020-10-30T20:00:00+00:00,2026-09-07T01:33:34.127098+00:00,M2,2020-10-01_M2,True,FORECAST_AVAILABLE,-0.03070875568078133,-0.03070875568078133,0.08931809177128552,0.08931809177128552,-1.1341764786987896,0.24339117034999286,False,False,0.0,,0.0,0.1304477197033247,0.0,0.0,True,DEVELOPMENT_LABEL_COMPLETE,2020-11-06,2020-11-06T21:00:00+00:00,2020-11-09T20:00:00+00:00,8
2020-10-30,2020-11-02,2020-11-02T20:00:00+00:00,2020-11-02T21:00:00+00:00,2026-09-07T01:33:34.197665+00:00,M2,2020-11-02_M2,True,FORECAST_AVAILABLE,-0.03375191649910249,-0.03375191649910249,0.06957878752341876,0.06957878752341876,-1.1357740072717708,0.2430971030268029,False,False,0.0,,0.0,0.1286258204588704,0.0,0.0,True,DEVELOPMENT_LABEL_COMPLETE,2020-11-09,2020-11-09T21:00:00+00:00,2020-11-10T20:00:00+00:00,9
